name,address,timings,coordinates,phone number
Ambeji Paint & H/w Store,105 Samman Bazar Bhogal Jangpura New Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.58178,77.24517",9312278056
Arun & Company,G - 6 Bhanot Plaza - 1 D.B.Gupta Road,Opens 09:00 AM - Closes 21:00 PM,"28.6446,77.2145",9810999204
M/s. J.p. Jain Paint House,158 Katra Baryan Fatehpuri Delhi-110006.,Opens 09:00 AM - Closes 21:00 PM,"28.6558,77.2224",9953090909
Shivam Paints,Shop No. 35 (Basement) Main Market Old Rajinder Nagar,Opens 09:00 AM - Closes 21:00 PM,"28.6391,77.1837",9313477666
Kalyani Paints,7696 Clock Tower Subzi Mandi Delhi-110007,Opens 09:00 AM - Closes 21:00 PM,"28.6763,77.2023999999999",9911351113
Paras Paints & Hardwares,B-7. Local Shopping Complex. Vivekanand Puri. Near Sarai Rohilla Police Station,Opens 09:00 AM - Closes 21:00 PM,"28.6681,77.1848999999999",9810621080
Agarwal H/w & Paint Store,114 Main Bazar Laxmi Nagar New Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.63332,77.2754199999999",9312241006
Pawan Paints Store,127a Guru Ram Dass Nagar Delhi.,Opens 09:00 AM - Closes 21:00 PM,"28.6382699999999,77.27764",NULL
Dawar Building Material Store,2/27 Block No. 2 Geeta Colony Delhi-110031,Opens 09:00 AM - Closes 21:00 PM,"28.6559,77.27222",9818084185
Gulshan Paints & Hardware,A-57 Guru Nanak Pura Basement And Ground Floor Main Vikas Marg Laxmi Nagar Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.6246699999999,77.2790499999999",9818522633
Gopal Paints & H/w Store,E-54 Shastri Nagar Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.6729,77.1794",9811311321
Singhal Marble House,98 Samman Bazar Bhogal New Delhi New Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.5832899999999,77.24917",9871257328
Shining Paint House,97 Municipal Market Cannaught Circus New Delhi.,Opens 09:00 AM - Closes 21:00 PM,"28.634,77.2228",9811087575
Rangeela Paints Hw & Sanitary,Shradhanand Colony,Opens 09:00 AM - Closes 21:00 PM,"28.6396899999999,77.2128699999999",8010892353
Khurana Hardware,35ndmc Market Babar Road New Delhi-110001,Opens 09:00 AM - Closes 21:00 PM,"28.6309,77.2299",9873054507
Krishna Brothers,Chowk 6 Tooti Paharganj Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.641,77.2136",9811258991
Mittal Maintenance Store,D-14/32 Sector 3rd,Opens 09:00 AM - Closes 21:00 PM,"28.63698,77.2081299999999",NULL
Om Traders,T-88 Khirki Village Press Enclave Road New Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.6378199999999,77.23174",9911996742
Balaji Paint House,Shop No -2641 Chuna Mandi Pahar Ganj New Delhi -110055,Opens 09:00 AM - Closes 21:00 PM,"28.6433499999999,77.2107",9968857119
Gurmeet Paint House,2738 Rajguru Road Chuna Mandi Pahar Ganj,Opens 09:00 AM - Closes 21:00 PM,"28.6444,77.2108",9811131094
Laxmi Paints & Hardware Store,5236 Chowk Ajmeri Gate Delhi 110006,Opens 09:00 AM - Closes 21:00 PM,"28.64629,77.2240099999999",9811289030
Mahabir Prashad Jain & Co.,5288 G.B.Road Ajmeri Gate Chowk Delhi=110006,Opens 09:00 AM - Closes 21:00 PM,"28.6467,77.2233999999999",9873068009
