name,address,timings,coordinates,phone number,distance
Arun & Company,G - 6 Bhanot Plaza - 1 D.B.Gupta Road,Opens 09:00 AM - Closes 21:00 PM,"28.6446,77.2145",9810999204,0.2179
Krishna Brothers,Chowk 6 Tooti Paharganj Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.641,77.2136",9811258991,0.5209
Gurmeet Paint House,2738 Rajguru Road Chuna Mandi Pahar Ganj,Opens 09:00 AM - Closes 21:00 PM,"28.6444,77.2108",9811131094,0.5795
Balaji Paint House,Shop No -2641 Chuna Mandi Pahar Ganj New Delhi -110055,Opens 09:00 AM - Closes 21:00 PM,"28.6433499999999,77.2107",9968857119,0.6093
Shivam Hardware Paint & Sanitary St,6904 Nabi Karim New Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.6492,77.2126999999999",9891920732,0.6272
Padam Singh Jain & Co.,41 Ajit Building Sharda Nand Marg G.B. Road,Opens 09:00 AM - Closes 21:00 PM,"28.6475,77.2228",9910888677,0.6649
Bharat Marble House,40 G.B. Road Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.6475,77.2228",9811900047,0.6649
Shri Balajee Nelam Paint & H/w,A-363 Amarpuri Nabi Karim Pahargunj New Delhi - 110055.,Opens 09:00 AM - Closes 21:00 PM,"28.6508,77.2173",9871615271,0.6696
M/s Mohan Lal & Company,5256shardanand Marg G.B Road Delhi-110006,Opens 09:00 AM - Closes 21:00 PM,"28.6476,77.2229",,0.6786
Rangeela Paints Hw & Sanitary,Shradhanand Colony,Opens 09:00 AM - Closes 21:00 PM,"28.6396899999999,77.2128699999999",8010892353,0.6812
